"Step","Aug07-1757_Flowavenet_toy_time_noise_0-359_rand_ampl - log_p/saw/train","Aug07-1757_Flowavenet_toy_time_noise_0-359_rand_ampl - log_p/sin/train","Aug07-1757_Flowavenet_toy_time_noise_0-359_rand_ampl - log_p/square/train","Aug07-1757_Flowavenet_toy_time_noise_0-359_rand_ampl - log_p/triangle/train","Aug07-1757_Flowavenet_toy_time_noise_0-129_rand_ampl - log_p/saw/train","Aug07-1757_Flowavenet_toy_time_noise_0-129_rand_ampl - log_p/sin/train","Aug07-1757_Flowavenet_toy_time_noise_0-129_rand_ampl - log_p/square/train","Aug07-1757_Flowavenet_toy_time_noise_0-129_rand_ampl - log_p/triangle/train","Aug07-1757_Flowavenet_toy_time_noise_0-077_rand_ampl - log_p/saw/train","Aug07-1757_Flowavenet_toy_time_noise_0-077_rand_ampl - log_p/sin/train","Aug07-1757_Flowavenet_toy_time_noise_0-077_rand_ampl - log_p/square/train","Aug07-1757_Flowavenet_toy_time_noise_0-077_rand_ampl - log_p/triangle/train","Aug07-1757_Flowavenet_toy_time_noise_0-027_rand_ampl - log_p/saw/train","Aug07-1757_Flowavenet_toy_time_noise_0-027_rand_ampl - log_p/sin/train","Aug07-1757_Flowavenet_toy_time_noise_0-027_rand_ampl - log_p/square/train","Aug07-1757_Flowavenet_toy_time_noise_0-027_rand_ampl - log_p/triangle/train","Aug07-1757_Flowavenet_toy_time_noise_0-01_rand_ampl - log_p/saw/train","Aug07-1757_Flowavenet_toy_time_noise_0-01_rand_ampl - log_p/sin/train","Aug07-1757_Flowavenet_toy_time_noise_0-01_rand_ampl - log_p/square/train","Aug07-1757_Flowavenet_toy_time_noise_0-01_rand_ampl - log_p/triangle/train"
"167850","6564.89031791687","242790165.28125","328548478","2377485222.5625","644.523603439331","758.6586380004883","72245.10229492188","6256.955871582031","217.18544387817383","98.4029769897461","3590.8105487823486","2604.585464477539","81.01262140274048","23.69442105293274","44.458046674728394","709.4205322265625","0.6189370825886726","0.2407410405576229","1.0413845404982567","86.65426635742188"
"167860","7.439871796965599","11539.09618375525","3127349.3796875","1770896.1859375","4.4386607825756075","16.43084124773741","1187.810689163208","154.8844474673271","3.6562048733234405","3.496804928779602","42.565825843811034","86.42615678310395","2.813985379040241","-1.3950739368796348","3.538332521915436","54.613099072128534","-2.05592679977417","-3.271977758407593","-0.7872410306707025","14.67561354637146"
"167870","-1.6562014818191528","-0.9082222282886505","47073.346307373045","165720.55078125","-1.7410244822502137","-2.6557507872581483","13.462187695503236","-0.37147137969732286","-1.8528666973114014","-2.487549877166748","4.51122595667839","-0.10865589939057826","-2.2649604797363283","-3.429955506324768","-0.2818755194544792","-1.422923919558525","-3.4665250301361086","-3.974915933609009","-2.335775172710419","-1.9692342817783355"
"167880","-1.630544626712799","-1.0419158816337586","188.98976364135743","38552.49287109375","-1.6748827576637269","-2.8973745107650757","-0.30554656088352206","-0.5692326962947846","-1.8341224908828735","-2.948166084289551","-1.0261315733194352","-0.8500285089015961","-2.4897058486938475","-3.447361922264099","-1.5458243131637572","-1.9561928391456604","-3.7615872383117677","-4.022044324874878","-2.574867367744446","-2.6162198543548585"
"167890","-1.6408758878707885","-0.981755256652832","34.36261672973633","7976.0900390625","-1.7138957619667052","-2.903855895996094","-1.4216657280921936","-0.5300073117017746","-1.8798888802528382","-3.018256735801697","-1.62616308927536","-0.9326636254787445","-2.5199676275253298","-3.5429391145706175","-1.9715784788131714","-2.020085370540619","-3.8821823358535767","-4.094166946411133","-2.8002038478851317","-2.509798514842987"
"167900","-1.6600748658180238","-0.9806224167346954","10.522494745254516","3106.503771972656","-1.766144907474518","-2.855007457733154","-1.5089114427566528","-0.5262668341398239","-1.9540775299072266","-3.1019272804260254","-1.745209527015686","-1.0588873207569123","-2.6837631940841673","-3.642599368095398","-2.059586262702942","-2.1353996992111206","-3.9109565734863283","-4.0815400838851925","-2.7818402528762816","-2.6230944633483886"
"167910","-1.711381459236145","-0.9742291688919067","6.480510115623474","479.9667373657227","-1.8249767065048217","-2.9365540504455567","-1.6263214468955993","-0.5674410939216614","-2.0435006618499756","-3.045946955680847","-1.7654157519340514","-1.1141800045967103","-2.842200207710266","-3.7442272663116456","-2.155920481681824","-2.204044461250305","-3.9226535320281983","-4.079637050628662","-2.722529911994934","-2.6703388929367065"
"167920","-1.7666258096694947","-0.9987334251403809","1.4801373958587647","76.12961444854736","-1.8795000433921814","-2.906060981750488","-1.600250744819641","-0.5494230777025223","-2.206260418891907","-3.1103232145309447","-1.782213807106018","-1.2880477428436279","-2.9631919384002687","-3.744213008880615","-2.1722039222717284","-2.2729984998703","-4.055818247795105","-4.202636075019837","-2.9633235692977906","-2.7577115297317505"
"167930","-1.8363919496536254","-1.007738196849823","0.7426801547408104","435.49466972351075","-1.9967872738838195","-2.976274251937866","-1.6887434363365172","-0.6258398950099945","-2.3423044443130494","-3.214077854156494","-1.8305547475814818","-1.4287614822387695","-3.0434866666793825","-3.8116408586502075","-2.2120254039764404","-2.336943578720093","-3.993711304664612","-4.1000508785247805","-2.8695245027542113","-2.763167881965637"
"167940","-1.9061107397079469","-1.0480490684509278","-0.004963680170476437","328.84852066040037","-2.1174031019210817","-3.0537900924682617","-1.7930728673934937","-0.6652403950691224","-2.3868009567260744","-3.191757845878601","-1.7974579572677611","-1.4149635672569274","-3.0835177659988404","-3.744903540611267","-2.208374547958374","-2.31307532787323","-4.091264390945435","-4.217433738708496","-2.999898099899292","-2.839570641517639"
"167950","-2.0046839118003845","-1.061514675617218","-0.19878723248839378","380.9889045715332","-2.214443492889404","-3.0189103841781617","-1.8079069256782532","-0.6522248923778534","-2.543920087814331","-3.131534051895142","-1.7594976663589477","-1.32809419631958","-3.0935244083404543","-3.724651575088501","-2.2018556118011476","-2.3235235452651977","-4.0314820289611815","-4.051452922821045","-2.8127660036087034","-2.79782874584198"
"167960","-2.057374143600464","-1.0823214411735536","-0.4873659133911133","189.50144653320314","-2.3810821294784548","-3.0406957387924196","-1.7930500149726867","-0.6922990381717682","-2.6013801097869873","-3.2410953998565675","-1.8467318296432496","-1.5676421999931336","-3.155113959312439","-3.8593524217605593","-2.3014127016067505","-2.421046423912048","-4.069316434860229","-4.1358644485473635","-2.873343324661255","-2.8546075105667112"
"167970","-2.2033064126968385","-1.0994519114494323","-0.43558385893702506","50.564772605895996","-2.527861547470093","-3.119938349723816","-1.845922827720642","-0.7080146253108979","-2.640521192550659","-3.2341443061828614","-1.7862364649772644","-1.5499037265777589","-3.1689251184463503","-3.7841331243515013","-2.272034239768982","-2.385853981971741","-4.118396329879761","-4.17545747756958","-2.9395581245422364","-2.8962555885314942"
"167980","-2.2475865840911866","-1.1183475494384765","-0.43928293138742447","1404.097584247589","-2.6370429039001464","-3.1485059022903443","-1.8590778470039369","-0.769481647014618","-2.6893434286117555","-3.2513332605361938","-1.7745153903961182","-1.6057503938674926","-3.1744558572769166","-3.761421060562134","-2.2664586544036864","-2.338538718223572","-4.073588085174561","-4.140645265579224","-2.8661518335342406","-2.8295156717300416"
"167990","-2.352080535888672","-1.1149211168289184","0.1397748151794076","1626.0260330200194","-2.5294179677963258","-3.0290711879730225","-1.7299015402793885","-0.6859776735305786","-2.7449314117431642","-3.3739136695861816","-1.9018851280212403","-1.8543087124824524","-3.237140154838562","-3.875461530685425","-2.376252293586731","-2.47371985912323","-4.154617500305176","-4.209524822235108","-2.9822011470794676","-2.9173724174499513"
"168000","-2.377057933807373","-1.1500666856765747","-0.3573416143655777","22.61154924631119","-2.552351975440979","-3.0434494018554688","-1.7518239855766295","-0.6890719175338745","-2.7724647998809813","-3.3739857196807863","-1.8633681416511536","-1.7595353245735168","-3.211603045463562","-3.7276063919067384","-2.288876461982727","-2.3229047536849974","-4.10037407875061","-4.126273488998413","-2.8944489002227782","-2.823067855834961"
"168010","-2.386196255683899","-1.1610503435134887","-0.40292562544345856","19.63694739341736","-2.6223087310791016","-3.1119316101074217","-1.8131715774536132","-0.7534597039222717","-2.814785599708557","-3.369476580619812","-1.8817338466644287","-1.8107053518295289","-3.2538844108581544","-3.8270352602005007","-2.3451760530471804","-2.3909422636032103","-4.115021991729736","-4.14877610206604","-2.8639692783355715","-2.8375322818756104"
"168020","-2.423490071296692","-1.1970039486885071","-0.6009041175246239","14.06264295578003","-2.587732124328613","-3.0500803232192992","-1.7613674759864808","-0.703623217344284","-2.8167324542999266","-3.434890794754028","-1.902745521068573","-1.9226197004318237","-3.3005597591400146","-3.900378155708313","-2.433579134941101","-2.450840377807617","-4.128930878639221","-4.229995918273926","-3.0107424020767213","-2.896830701828003"
"168030","-2.423296856880188","-1.2068077087402345","-0.6721604347229004","7.261517477035523","-2.575636553764343","-3.035008430480957","-1.7117262482643127","-0.7487875461578369","-2.8006045818328857","-3.2137507438659667","-1.7870799779891968","-1.5753744840621948","-3.288483142852783","-3.7889244556427","-2.382482385635376","-2.3848161697387695","-4.143501234054566","-4.173324060440064","-2.9245840072631837","-2.865601348876953"
"168040","-2.4589441537857057","-1.2265045642852783","-0.6949575334787369","4.048134541511535","-2.7165040969848633","-3.2012182474136353","-1.9324293375015258","-0.8078760385513306","-2.8361634969711305","-3.302187275886536","-1.7711511135101319","-1.7263182044029235","-3.3254351139068605","-3.828439712524414","-2.395405340194702","-2.4076984882354737","-4.164281606674194","-4.170395946502685","-2.8764719009399413","-2.8661334991455076"
"168050","-2.4483135461807253","-1.2560424566268922","-0.8586981743574142","6.406924772262573","-2.604445958137512","-3.10097393989563","-1.7560971260070801","-0.7567443430423737","-2.8537869691848754","-3.4114010334014893","-1.8710619688034058","-1.9078046202659606","-3.3434024095535277","-3.8957512855529783","-2.4458454608917237","-2.4445207595825194","-4.2357611656188965","-4.230215978622437","-2.9930707931518556","-2.9233615159988404"
"168060","-2.43970205783844","-1.2314664006233216","-0.5037503957748413","36.42757768332958","-2.6326173067092897","-3.1083782434463503","-1.8030311703681945","-0.7939018487930298","-2.8551986694335936","-3.3737125396728516","-1.8642943263053895","-1.8262044668197632","-3.3888920307159425","-3.9065243005752563","-2.5096518278121946","-2.4757171630859376","-4.215638780593872","-4.193784523010254","-2.9104991436004637","-2.9019469022750854"
"168070","-2.432917070388794","-1.236695122718811","-0.6421630144119262","3.4772379040718078","-2.7451398611068725","-3.2602814435958862","-1.9778586030006409","-0.8772600591182709","-2.863721776008606","-3.363395404815674","-1.8892351388931274","-1.7944603562355042","-3.403068947792053","-3.9040957927703857","-2.4714608430862426","-2.4606138706207275","-4.226262092590332","-4.226321744918823","-2.9563223361968993","-2.9059697866439818"
"168080","-2.498429369926453","-1.2841890454292297","-0.6863015323877335","4.305327665805817","-2.6658315658569336","-3.1823962450027468","-1.8522666692733765","-0.830324399471283","-2.8714770078659058","-3.3909145832061767","-1.8833294987678528","-1.871454691886902","-3.412859344482422","-3.9360760927200316","-2.521124005317688","-2.4970457792282104","-4.258897352218628","-4.255312299728393","-2.9821266412734984","-2.9178375005722046"
"168090","-2.411642384529114","-1.223245346546173","-0.4301623053848743","1.8060918956995011","-2.7384953022003176","-3.2409162521362305","-1.9002586960792542","-0.8827369511127472","-2.9193845272064207","-3.533352828025818","-1.9301758885383606","-2.067404842376709","-3.4154041051864623","-3.9062973976135256","-2.50257203578949","-2.449690318107605","-4.25658540725708","-4.2483038902282715","-2.9558884620666506","-2.914908528327942"
"168100","-2.450406312942505","-1.2959793210029602","-0.5384803995490074","1.753206016868353","-2.6404879093170166","-3.1116474151611326","-1.801726746559143","-0.8033403277397155","-2.9579607486724853","-3.6212682247161867","-1.9633744716644288","-2.178683614730835","-3.426884078979492","-3.8685645341873167","-2.4631369352340697","-2.416223645210266","-4.286603355407715","-4.278252172470093","-3.000841188430786","-2.9379285335540772"
"168110","-2.4925573110580443","-1.3922194600105287","-1.1480434656143188","6.5844623923301695","-2.751331090927124","-3.252264714241028","-1.937628948688507","-0.9066654324531556","-2.90840003490448","-3.4524098873138427","-1.8653638005256652","-1.8651993155479432","-3.4693568468093874","-3.914103889465332","-2.5349803447723387","-2.4552021265029906","-4.291235446929932","-4.26730899810791","-2.9653629064559937","-2.968345022201538"
"168120","-2.4624355316162108","-1.3672823190689087","-0.9220615863800049","15.054881918430329","-2.6848693609237673","-3.1748595952987673","-1.8787361621856689","-0.8387883424758911","-2.963445258140564","-3.595128870010376","-1.9791201949119568","-2.093892180919647","-3.4998836517333984","-3.9533421277999876","-2.586736297607422","-2.505787205696106","-4.251760625839234","-4.193041372299194","-2.898532438278198","-2.8737745761871336"
