"Step","Aug10-1143_Flowavenet_musdb_time_rand_ampl - log_p/bass/train","Aug10-1143_Flowavenet_musdb_time_rand_ampl - log_p/drums/train","Aug10-1143_Flowavenet_musdb_time_rand_ampl - log_p/other/train","Aug10-1143_Flowavenet_musdb_time_rand_ampl - log_p/vocals/train","Jul31-2025_Flowavenet_musdb_time_rand_ampl - log_p/bass/train","Jul31-2025_Flowavenet_musdb_time_rand_ampl - log_p/drums/train","Jul31-2025_Flowavenet_musdb_time_rand_ampl - log_p/other/train","Jul31-2025_Flowavenet_musdb_time_rand_ampl - log_p/vocals/train"
"0","undefined","undefined","undefined","undefined","1.4182355403900146","1.4182355403900146","1.4182355403900146","1.4182357788085938"
"10","undefined","undefined","undefined","undefined","1.8899574398994445","5.433967792987824","1.6118196249008179","6.98923305273056"
"20","undefined","undefined","undefined","undefined","1.6738967061042787","5.182461607456207","1.3954061150550843","6.021000170707703"
"30","undefined","undefined","undefined","undefined","1.6414536952972412","3.7434850215911863","1.5646576404571533","6.178733325004577"
"40","undefined","undefined","undefined","undefined","1.2447561025619507","2.9259010672569277","1.282842254638672","4.648133152723313"
"50","undefined","undefined","undefined","undefined","1.2066961586475373","2.085158908367157","1.2424903690814972","3.1450806498527526"
"60","undefined","undefined","undefined","undefined","1.0623040854930879","1.6012707233428956","1.1639800488948822","2.6519378900527952"
"70","undefined","undefined","undefined","undefined","1.015218597650528","1.3498066663742065","1.0903431057929993","2.436529266834259"
"80","undefined","undefined","undefined","undefined","0.970313447713852","1.3046270191669465","1.0267962336540222","1.6380221784114837"
"90","undefined","undefined","undefined","undefined","0.9447572946548461","1.1708619356155396","1.0026901721954347","1.4490255117416382"
"100","undefined","undefined","undefined","undefined","0.9423815965652466","1.1482918441295624","1.066721111536026","1.298757839202881"
"110","undefined","undefined","undefined","undefined","0.9340466797351837","1.0885702192783355","0.9816363453865051","1.1822015643119812"
"120","undefined","undefined","undefined","undefined","0.9136041104793549","1.0973425507545471","0.9977758467197418","1.251925414800644"
"130","undefined","undefined","undefined","undefined","0.9062783598899842","1.06777184009552","0.9609789073467254","1.0923687100410462"
"140","undefined","undefined","undefined","undefined","0.8735350728034973","1.0272441387176514","0.9130988657474518","1.108363676071167"
"150","undefined","undefined","undefined","undefined","0.8248412549495697","1.0254137575626374","0.88649862408638","1.1176688909530639"
"160","undefined","undefined","undefined","undefined","0.684282910823822","1.0054397583007812","0.7601654350757598","1.1106040239334107"
"170","undefined","undefined","undefined","undefined","0.4361679345369339","1.0507774472236633","0.34790390729904175","1.130089271068573"
"180","undefined","undefined","undefined","undefined","0.10968627678230405","1.0056865632534027","-0.32819527611136434","1.1008814096450805"
"190","undefined","undefined","undefined","undefined","-0.2730932399630547","1.0235510766506195","-1.1851252257823943","1.0586091876029968"
"200","undefined","undefined","undefined","undefined","-0.5488614320755005","0.9812882781028748","-1.556466853618622","1.0494228184223175"
"210","undefined","undefined","undefined","undefined","-0.7575745344161987","0.997676545381546","-2.0033965706825256","1.0396463394165039"
"220","undefined","undefined","undefined","undefined","-0.8408144682645797","0.9756853401660919","-2.2586822509765625","1.0263130724430085"
"230","undefined","undefined","undefined","undefined","-0.6876000106334687","1.023052155971527","-2.270319962501526","1.0567573368549348"
"240","undefined","undefined","undefined","undefined","-0.8070944458246231","1.022844785451889","-2.4988681077957153","1.0738563299179078"
"250","undefined","undefined","undefined","undefined","-1.0400605827569962","0.9937480390071869","-2.437827980518341","1.0547899067401887"
"260","undefined","undefined","undefined","undefined","-1.3111672401428223","0.9756690561771393","-2.601698136329651","1.00378338098526"
"270","undefined","undefined","undefined","undefined","-1.568019950389862","0.9470874309539795","-2.7869338512420656","1.003747171163559"
"280","undefined","undefined","undefined","undefined","-1.613293969631195","0.8252073228359222","-2.9175751924514772","0.9833997130393982"
"290","undefined","undefined","undefined","undefined","-1.9367107152938843","0.7980576395988465","-2.516317057609558","1.028415060043335"
"300","undefined","undefined","undefined","undefined","-1.7195625558495522","0.5449343800544739","-2.56361837387085","1.0093021035194396"
"310","undefined","undefined","undefined","undefined","-2.2197954416275025","0.23282038532197474","-2.352819192409515","1.0217100024223327"
"320","undefined","undefined","undefined","undefined","-1.8260703146457673","-0.087282095849514","-2.5324192523956297","0.9850199162960053"
"330","undefined","undefined","undefined","undefined","-2.0570845723152162","-0.5975774824619293","-2.635454702377319","0.998597115278244"
"340","undefined","undefined","undefined","undefined","-2.287375974655151","-0.9479810893535614","-2.771829104423523","0.979424923658371"
"350","undefined","undefined","undefined","undefined","-2.3790998220443726","-1.1842021822929383","-2.926659369468689","0.9569023966789245"
"360","undefined","undefined","undefined","undefined","-2.600795292854309","-1.3313403964042663","-3.0408149003982543","0.9916288614273071"
"370","undefined","undefined","undefined","undefined","-2.7723854780197144","-1.5079349875450134","-3.1235761642456055","0.9848531603813171"
"380","undefined","undefined","undefined","undefined","-2.699192667007446","-1.6101123094558716","-2.9824779748916628","0.9846205294132233"
"390","undefined","undefined","undefined","undefined","-2.8367483854293822","-1.8544983267784119","-3.2868297576904295","0.9907026946544647"
"400","undefined","undefined","undefined","undefined","-2.9930370807647706","-2.0121273756027223","-3.0889764547348024","0.981272530555725"
"410","undefined","undefined","undefined","undefined","-3.0003596544265747","-2.1437788724899294","-3.2139944791793824","0.9811224341392517"
"420","undefined","undefined","undefined","undefined","-2.903487229347229","-2.4383764028549195","-3.392487120628357","0.9654944241046906"
"430","undefined","undefined","undefined","undefined","-2.9383134603500367","-2.4962024688720703","-2.727573037147522","0.9818489730358124"
"440","undefined","undefined","undefined","undefined","-3.079003095626831","-2.668634271621704","-2.9503185749053955","0.9875491321086883"
"450","undefined","undefined","undefined","undefined","-3.078563857078552","-2.7333961009979246","-3.0332578897476195","0.9669202387332916"
"460","undefined","undefined","undefined","undefined","-3.237584924697876","-2.997926211357117","-3.2642000198364256","0.9653056025505066"
"470","undefined","undefined","undefined","undefined","-3.2654518842697144","-3.1434465408325196","-3.29702205657959","0.9573014914989472"
"480","undefined","undefined","undefined","undefined","-3.120319867134094","-3.2445133447647097","-3.187730145454407","0.9701175391674042"
